# Constructed from biom file
#OTU ID	SRR15093004	SRR15093005	SRR15093006	SRR15093007	SRR15093008	SRR15093009	SRR15093010	SRR15093011	SRR15093012	SRR15093013	SRR15093014
GLUTORN-PWY	39848.127573847	30275.287635103217	36362.52116520032	24454.47380845402	28583.219527807618	32586.286625326185	34563.88711492382	43372.66064967084	34850.32376661204	24142.758774897535	58167.167044352995
GLYCOCAT-PWY	32381.581043698174	24642.9037452977	28955.057324436548	13532.387933855798	21814.75973391738	27144.27274038884	30041.627958643257	36990.64151553041	28154.209691242315	16317.851778223996	25491.353567192953
GLYCOGENSYNTH-PWY	31212.80606444076	23046.726089311695	28767.28826173967	14209.809509587096	22346.576477190934	26009.610082792984	30446.107771879848	37270.325460530476	26986.920231223135	15156.451392815883	45821.671246166676
GLYCOL-GLYOXDEG-PWY	0.0	30.683513169658372	0.0	19.623209229436775	0.0	0.0	0.0	19.064139500363545	2.9668115867004823	7.992723630747883	172.85857017152046
GLYCOLYSIS	33793.70081300409	26398.238879946897	30092.658799298675	24439.121986659837	25369.29412021894	26910.160865519003	30861.798789065375	39702.61362031318	29030.725898394183	22296.451174046724	51119.84170198566
GLYCOLYSIS-E-D	28719.740675825506	21770.718544183568	25294.371233418075	21273.911218546706	21164.247254470054	22501.753726411564	25167.001147943414	33467.08788694858	23529.640125786296	19472.20417953459	48381.737653298514
GLYCOLYSIS-TCA-GLYOX-BYPASS	25577.65705087909	21350.119984947905	22891.888840390868	22485.39147239905	17121.999263670758	19484.14006189105	18834.669325331895	27349.86786602811	21455.297853192962	20665.58579302999	48550.48857411561
GLYOXYLATE-BYPASS	27399.56786138243	20557.874400635843	23406.386835369813	15050.072837593389	19225.970107392826	20842.335071065696	20368.670885987856	29270.66436693387	22018.11716369368	17830.47427140896	44835.173344823874
GOLPDLCAT-PWY	0.0	0.0	0.0	0.0	35.76721949827219	0.0	171.41869707300754	224.09000803863	0.0	0.0	177.01293733875585
HCAMHPDEG-PWY	373.29018161250156	671.7584309086268	280.7905555311395	622.9705155808518	135.113964292252	165.6380747634912	83.68491176890431	163.28031298392398	214.80502457911	514.9617424817447	654.8849451346953
HEME-BIOSYNTHESIS-II	21912.284720391017	16163.254553531266	21086.79424702463	19967.19846524582	15576.988334383472	18037.650067109258	18399.173335836305	23231.190543495133	18115.089027541293	15714.294756049196	48949.98664207074
HEMESYN2-PWY	37618.08417783528	28710.2961546755	34502.29183510912	24702.151879358367	27410.85325990287	30567.93784871307	32627.499542798614	41747.8470641007	32240.25518259979	22998.78211789958	58668.21913965011
HEXITOLDEGSUPER-PWY	1873.6003043377264	924.1138477603066	2028.8123411366169	3654.4056342416498	1471.1645776790078	1668.4023572915762	871.9511613963324	2007.881982553162	480.254815218701	3283.505488034998	2594.64923905477
HISDEG-PWY	20912.237264857406	14333.466279694796	17454.805864237973	18638.524236120586	13658.9654834993	14789.13112148067	14930.425367065187	20731.259599858364	14628.816881868173	15612.466402024318	44113.723604482824
HISTSYN-PWY	37780.207708745045	28756.626318529277	34369.93730804795	24785.90806567318	26416.686837880672	30251.733276707037	31786.83716255633	39972.821433422425	32683.67849564041	21050.032187412227	55115.506216512345
HOMOSER-METSYN-PWY	23102.031147932776	16890.752428675136	18967.5042646274	7191.830909780133	15050.107553851423	15889.532828098492	14256.391366464315	20718.207391384425	17720.896496666246	10295.793942430533	54912.35200516831
HSERMETANA-PWY	33457.41614666494	26440.390142917957	31170.80159216525	25406.29597691557	22157.9815544122	27570.866912965706	26223.958323202496	35009.99404141493	28927.64146074473	22603.686074738216	57717.33473292401
ILEUSYN-PWY	68830.9918775367	54679.17356745469	62497.82909653468	43406.60401870125	46674.05228063439	54290.622668242075	52773.847867666096	70071.84380142958	61544.80062174848	40801.73467000824	96202.17758877864
KDO-NAGLIPASYN-PWY	0.0	5.358811370663657	47.92811124977816	2395.8106567293175	15.988661908682067	55.888329374167654	0.0	79.82997544687738	47.92165911306392	1340.4588529674795	1078.9970318519202
KETOGLUCONMET-PWY	1026.730036193489	1148.6317672446448	1017.213785623927	3905.5482282477697	220.34474247072527	815.3599001186201	197.0914823608574	651.7409713241816	431.8350532485759	3878.1812147690334	7815.49225851518
LACTOSECAT-PWY	82.98368185250214	51.588880572395226	17.902223690065842	0.0	17.87837509374419	100.80487244911461	13.889004464713109	205.12133776758165	55.391523542016884	27.662572208729642	270.6400853046641
LEU-DEG2-PWY	23081.111967304467	17353.170948892945	21377.865421313967	20947.746943973816	14573.90054706998	16636.658186262866	14183.296016183827	21478.062898928474	18010.844873234135	18837.107248826756	48837.83237965299
LIPASYN-PWY	17.247997485958162	0.0	62.43588031712893	44.80979620032172	27.308488197007883	4.962093103049164	0.0	7.443367275687919	0.0	144.00897327320646	126.32548419643571
LPSSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.22670073218998
MET-SAM-PWY	30146.379019073225	22090.491341661425	25537.37582911497	12198.198245155061	20076.226994077017	22105.641252328347	21155.790731865072	29329.969796717494	23876.187849898542	15129.817005078638	56232.50833685992
METH-ACETATE-PWY	1207.9336456494377	331.08318297414723	204.66533916389082	7.997256480051132	808.7853674004806	394.90772306699233	4737.329092393785	1993.688469676287	1012.615616983015	0.0	23.526793521547436
METHANOGENESIS-PWY	0.0	0.0	0.0	8.276629784969803	50.11769227153951	0.0	393.8826869803527	76.53948037428322	42.73156384541813	0.0	21.39319639546564
METHGLYUT-PWY	0.0	296.7380567782724	0.0	73.84807926973338	0.0	0.0	0.0	0.0	0.0	32.38852693484262	1089.5983369869766
METHYLGALLATE-DEGRADATION-PWY	826.0017003135009	390.117510171769	894.2939963967417	4828.004115497907	28.264859895445674	442.2073675512064	86.12717847985702	269.3549560473038	235.4740582038353	1243.5963243203062	23063.651521017062
NAD-BIOSYNTHESIS-II	1809.7223002453516	463.3029306258738	1917.7009286502846	5779.565932382274	339.36747478862884	850.7383704128437	181.18687737029813	648.4551755860904	534.5860112896513	3143.049998922126	18380.013721795473
NADSYN-PWY	5538.428532307842	4859.287805276111	3928.4662195945816	7826.473739475719	1673.4551033507735	2712.932204168876	1709.6637731857218	2446.9118877923884	4059.3372843803913	4424.102717844718	5189.292911266995
NAGLIPASYN-PWY	34606.817345307296	25149.704033478836	32665.746813035865	22302.53025214026	22572.266892006228	29588.780048707944	31063.028054545743	38247.317657217245	31491.235559931767	17842.672099248815	30992.838878759212
NONMEVIPP-PWY	35989.61112681765	26602.681731415018	32430.889646899595	21049.57563197279	25728.553933957704	29214.926642387276	31942.830931815017	39783.8402374215	31611.167422033242	19592.847428024877	53116.54358867064
NONOXIPENT-PWY	52168.375335927994	38204.72522477384	46581.676448164784	37000.43415041525	38433.366850458464	41190.95122408905	44987.462745167846	57716.08232578771	43153.926019623745	31081.29839769677	77298.04738314345
OANTIGEN-PWY	39353.49932483125	29650.841180001964	35014.84704193467	21876.80101220443	27810.7008154871	31985.683875468505	33855.610722238904	43198.30519963798	34505.185624395264	21460.78836513024	52972.77392264907
